device,date,maintenance_type
A1,2024-05-18,中维护
A1,2024-07-19,中维护
A1,2024-10-01,中维护
A1,2024-12-02,大维护
A1,2025-01-21,中维护
A1,2025-03-14,中维护
A1,2025-05-10,中维护
A1,2025-06-29,中维护
A1,2025-09-15,中维护
A1,2025-11-14,大维护
A1,2026-01-19,中维护
A1,2026-03-07,中维护
A10,2024-05-25,中维护
A10,2024-07-25,大维护
A10,2024-10-01,中维护
A10,2024-11-20,中维护
A10,2025-01-18,中维护
A10,2025-02-24,中维护
A10,2025-04-11,大维护
A10,2025-06-05,中维护
A10,2025-08-19,中维护
A10,2025-11-01,中维护
A10,2026-01-01,大维护
A10,2026-02-13,中维护
A10,2026-03-26,中维护
A2,2024-06-04,中维护
A2,2024-08-16,中维护
A2,2024-11-03,中维护
A2,2025-01-01,中维护
A2,2025-02-20,中维护
A2,2025-04-07,中维护
A2,2025-05-28,中维护
A2,2025-07-21,中维护
A2,2025-10-06,大维护
A2,2025-12-10,大维护
A2,2026-01-29,大维护
A2,2026-03-12,中维护
A3,2024-05-29,中维护
A3,2024-07-18,中维护
A3,2024-09-30,中维护
A3,2024-11-30,中维护
A3,2025-01-17,中维护
A3,2025-03-05,中维护
A3,2025-05-06,中维护
A3,2025-07-02,大维护
A3,2025-09-15,中维护
A3,2025-11-17,大维护
A3,2026-01-20,中维护
A3,2026-02-24,中维护
A3,2026-04-05,中维护
A4,2024-05-28,中维护
A4,2024-07-16,中维护
A4,2024-09-21,中维护
A4,2024-11-20,中维护
A4,2025-01-18,中维护
A4,2025-02-20,中维护
A4,2025-04-10,中维护
A4,2025-06-04,中维护
A4,2025-08-06,中维护
A4,2025-10-10,中维护
A4,2025-12-09,中维护
A4,2026-01-21,中维护
A4,2026-03-12,中维护
A5,2024-05-19,中维护
A5,2024-07-18,中维护
A5,2024-09-21,大维护
A5,2024-11-24,中维护
A5,2025-01-21,中维护
A5,2025-02-25,中维护
A5,2025-04-15,中维护
A5,2025-06-14,中维护
A5,2025-08-19,中维护
A5,2025-11-06,中维护
A5,2026-01-08,中维护
A5,2026-02-26,中维护
A5,2026-04-03,中维护
A6,2024-06-06,中维护
A6,2024-08-27,中维护
A6,2024-11-06,大维护
A6,2024-12-31,中维护
A6,2025-02-19,大维护
A6,2025-04-11,中维护
A6,2025-06-04,中维护
A6,2025-08-23,中维护
A6,2025-11-02,中维护
A6,2026-01-03,中维护
A6,2026-02-15,中维护
A6,2026-03-25,中维护
A7,2024-05-18,中维护
A7,2024-07-04,中维护
A7,2024-09-24,中维护
A7,2024-11-22,中维护
A7,2025-01-20,中维护
A7,2025-02-24,中维护
A7,2025-04-16,大维护
A7,2025-06-16,中维护
A7,2025-09-01,中维护
A7,2025-10-18,中维护
A7,2025-12-22,中维护
A7,2026-02-08,大维护
A7,2026-03-25,中维护
A8,2024-06-02,中维护
A8,2024-08-10,中维护
A8,2024-10-31,中维护
A8,2025-01-03,中维护
A8,2025-02-13,中维护
A8,2025-03-27,中维护
A8,2025-05-13,中维护
A8,2025-07-06,中维护
A8,2025-09-08,中维护
A8,2025-11-03,中维护
A8,2025-12-28,中维护
A8,2026-02-09,中维护
A8,2026-03-31,中维护
A9,2024-05-30,中维护
A9,2024-08-02,中维护
A9,2024-10-15,中维护
A9,2024-12-15,中维护
A9,2025-01-31,中维护
A9,2025-03-19,中维护
A9,2025-05-15,大维护
A9,2025-07-09,中维护
A9,2025-09-12,中维护
A9,2025-11-16,中维护
A9,2026-01-09,中维护
A9,2026-02-23,中维护
A9,2026-04-01,大维护
